TEXT: 抱歉太長我直接END了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.214
TEXT: 提芬妮藍好看欸XD,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9609
TEXT: 看到這顏色第一個想到TIFFANY BLUE，這台開在路上應該會被很多喜歡名牌的女生注目,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9882
TEXT: 綠黃顏色很可以,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9291
TEXT: 篇幅太長了看下來有點難閱讀，建議有些圖片可以用拼圖的方式排版會比較簡潔，VENUE這車色好看,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9868
TEXT: 這黃色比KIA的黃色好看太多了,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8412
TEXT: 這樣VENUE就超多顏色可以選的耶 不知道之前粉絲團上的粉紅色之後有沒有可能會出,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1965
TEXT: 推,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7341
TEXT: 沒離合器的手排不就四輪金旺@@,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2242
TEXT: 原PO真的用心,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8924
TEXT: 推 好看,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9916
TEXT: 這篇超用心,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5691
