TEXT: 我選POLO 反正你剛過保就賣了 不會痛XD,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0353
TEXT: 感覺4或5都可以 都去看看 了解一下配備吧,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6976
TEXT: 神A 結案,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4618
TEXT: FIT 不是要上了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1038
TEXT: 安全第一優先，就馬牌的CX3或馬3啊，選單幾乎都國產沒有撞測，頂多FOCUS廣告打硼鋼打很大，算是裡面比較硬的，建議都去試試,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3176
TEXT: 紅明顯，來車版問車的原則就是越多人推的越不要買。這邊就是太多買不起車的鍵盤車手在幻想。沒開過的車也能推的頭頭是道XDDD,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7604
TEXT: SENTRA加煞氣大包，開帥不開快,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1632
TEXT: 馬三啊 折完80左右 安全性又不在意後座 我也是我跟女友兩人而已 目前很滿意,    PREDICT: POSITIVE, POSITIVE_PROBS:0.705
TEXT: COROLLA SPORT旗艦，除了後座跟稅金，其他都不錯，只是會小爆預算,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6175
TEXT: 找二手的COROLLASPORT 應該60多有,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2066
TEXT: 神A就對了 不用問這麼多,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6468
TEXT: 車況應該都不差 空間不習慣或玩膩拋售的有,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7596
TEXT: 神A,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4521
TEXT: 1跟5 抽籤選一個,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4241
TEXT: 4或5，二手價都不錯,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4928
TEXT: 4,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5357
TEXT: SWIFT,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4688
TEXT: KICKS一票,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4785
TEXT: 4,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5357
TEXT: FABIA?剛改款，符合預算，又是進口，安全性較有保障，不過二手價當然比不上日系啦,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7691
TEXT: 4可以，5的話要賣的時候至少都還有40萬，我就是買5.,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8544
TEXT: 考慮二手價的話的看雙田、SUZUKI就好了女友喜歡SWIFT的話就它了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4056
TEXT: 神A +1    新款SWIFT動力比較冏,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7638
TEXT: 4.5二手價都不錯，但我推1.4,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4195
TEXT: 4阿不過等車可能要等很久,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6894
TEXT: 你在意二手價就45挑一台 其他不用看FABIA大改最快明年才進來 別想了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3445
TEXT: 神A,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4521
TEXT: 安全性只有1，4了吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1779
TEXT: 台苯FIT，保值！,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8369
TEXT: 4，除非想被女友唸,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0448
TEXT: 這幾台沒有一台安全的,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2286
TEXT: 去試乘女友就會放棄4了。除非很勤儉持家的那種,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3351
TEXT: SWIFT後保內鐵被偷掉了，被追撞修起來會很慘。,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3817
TEXT: 新手首重安全，這幾台都不合格,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.142
TEXT: 市區為主1砍掉了 油耗很慘兩人用車建議SWIFT 車小好操控 又省油重點 很保值也可以考慮看看CX3 或MAZDA3尊安安全性很好,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9976
TEXT: 真心話 這世代的車沒L2的都不要考慮,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0838
TEXT: FOCUS>SWIFT,其他看都不用看,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6962
TEXT: 考慮2手只有神A 考慮女友只有4啦,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0419
TEXT: SCALA 還有電尾,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8028
TEXT: 要安全就FOCUS或馬3尊安版,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2609
TEXT: 名單內就沒有SKODA一堆SKODA仔硬要推,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0631
TEXT: 跟你預算需求差不多後來選了5D時尚,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3581
TEXT: 5,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6872
TEXT: 你又不考慮二手的 不然應該有保內超新FABIA可以撿保固保養原廠處理 過保前換車就好了XD,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3574
TEXT: 五年換車就4跟5選一台，但所有車都去開開看比較好,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8549
TEXT: 1或CS,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2116
TEXT: 神A,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4521
TEXT: 入門、好開、好養，LANCER吧！成交價在6字頭省預算1.2.5都不差，比起3.4不如選LANCER，至少車比較有力,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9702
TEXT: 你的選項1 3 5都可以 然後看人品決定要不要上課,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5366
TEXT: FOCUS 5D,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8825
TEXT: 1>>>>>>>>>OTHER,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0457
TEXT: 安全性優先然後你挑了四台國產車,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8983
TEXT: 五年內換車神A不用考慮了,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8594
TEXT: 五年內賣車的話 神A或KICKS吧 仙草頂規應該也不用80,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6291
TEXT: 4,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5357
TEXT: PICANTO,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 轎車1,5，CUV就直接選K,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2813
TEXT: 國產先刪掉 謝謝,    PREDICT: POSITIVE, POSITIVE_PROBS:0.848
TEXT: 安全第一優先，例了4台國產,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2865
TEXT: 最近在考慮SWIFT,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4605
TEXT: 神A,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4521
TEXT: 不在意後座推 AURIS (COROLLA SPORT),    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2005
TEXT: 秒選ALTIS,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 真心考慮安全就不要國產了吧，都是鋁罐,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1249
TEXT: SKODA FABIA COMBI,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6444
TEXT: 預算跟你差不多 也是想選FOCUS時尚,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5417
TEXT: 馬三尊安版,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4913
TEXT: 4或CX3,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5036
TEXT: 神A,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4521
TEXT: 神A或F,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3157
TEXT: TNGA,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 馬三 FOCUS選一吧 真的要神A也能啦 就比較無聊,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1405
TEXT: 1或5,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4885
TEXT: SCALA,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
