TEXT: 爛是不分國界的,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0342
TEXT: 就爛 價格也沒有比較便宜,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0406
TEXT: 當初納智捷去陸換取奇瑞來台 兩岸人民的感想都是「沃草他們是不是當我們都是傻逼？這價格有七成是智商稅吧？」,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0027
TEXT: 納智捷在中國被酸不是在加油就是在去加油的路上,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1369
TEXT: 然後 兩個都倒了XDDD,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2973
TEXT: 不是喔，很奇怪的，大部分的人都覺得他算合資車,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2172
TEXT: 一開始賣便宜的給台灣 也不會酸得這麼用力 真的把台灣人都智障,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.003
TEXT: 爛不分國界，笑死,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0237
TEXT: 因為真的爛,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0155
TEXT: 虎哥說車：你買納智捷，你就是中石化戰略合作伙伴,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7392
TEXT: 要酸納你也真想辦法找一台來酸，如果只是嘴砲的話我是不會點擊的,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0409
TEXT: 賣台灣沒比較便宜..賣中國也被嫌..兩邊都很臭XD,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0355
TEXT: 爛車在那都是爛車,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5029
TEXT: 你跟中國一樣價錢..護航的還有點屁能說..自己做死..,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0636
TEXT: 連二手車販子都聞風喪膽的車,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7402
TEXT: 台灣國產車？ 舉報台獨份子哦！,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.254
TEXT: 就爛啊,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0306
TEXT: 被大陸車吊打,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2596
TEXT: 就白癡才會買的車,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5614
TEXT: ZZZ,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6421
TEXT: 品質問題吧...,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1789
TEXT: 能讓兩岸得到共識也不簡單,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1433
TEXT: 今天看到一台爆改S3，讓我了解人會是低端不是沒原因,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3644
TEXT: 沒有台灣價值又沒有中國價值，因此定期被鞭很合理,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4297
TEXT: 狗屎糞車,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0261
TEXT: 去看看對岸的國產自主品牌的車，進化到什麼程度,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7074
TEXT: 兩岸和平的推手 兩岸首度在觀點上取得共識屌打什麼92共識,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.359
TEXT: 台灣使用者支不支持跟在大陸收不收攤有什麼關係？,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0385
TEXT: 以前看過中國車評說納牌是有著汽車外觀的曳引車 印象深刻XD,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9551
TEXT: 兩岸唯一共識,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2532
TEXT: 可以看看對岸自己的自主品牌車就知道為何納只能收攤了 根本完全沒有競爭能力,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0241
TEXT: 因為當初納廣告強調寶島台灣品質保証，騙了不少中,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4338
TEXT: 那引擎很耗油,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1562
TEXT: 事實上只要有台灣標記的 在中國都有人酸/噴連台積電在南京增設28奈米線都能噴不如找台灣有哪一點在中國會被推的 這太稀奇了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0403
TEXT: 看到台灣的東西被對岸酸不是很正常 台灣也有一群人喜歡一起鬥,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3751
TEXT: 反過來說也一樣 中國所有東西在台灣都有人噴中國哪個東西在台灣被推的 太稀奇了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0274
TEXT: 其實中國的手機如小米 OPPO 黑鯊還不少人推的,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1193
TEXT: 台GG設廠 只要懂點對岸半導體現況的 都是大力贊成會噴的不是業外 就是別有用心故意帶風向的,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8193
TEXT: 懂行的永遠是少數 說真話的馬上被口水淹沒被說小粉紅的還少見嗎?台灣政治正確的風向下 所有說法都要臣服,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0709
TEXT: 對岸半導體市場需求成長遠遠超過台GG那一點產能增加說是利用產能傾銷也遠遠達不到 完全就是無知啊,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0774
TEXT: XX不分國界,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2215
TEXT: 台獨抓到,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.373
TEXT: 中國爛車也不少，不過這蠻值得酸是真的，扶植這麼久的車廠沒有大突破，車型也老老的==,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4044
TEXT: 以為自己可以跟在台灣一樣，競爭車型直通天聽不讓她上市，或是課徵進口關稅,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2907
